"飯店縣市","入住日期","退房日期","訂房日期","訂房數量","交易金額","歲數","性別","所在地址","IsForeigner"
"台南市",2014/12/12,2014/12/13,"2014/10/16 下午 04:28:16",1,3500,36,"女","台北市","本國"
"台南市",2014/10/23,2014/10/24,"2014/10/16 下午 05:42:16",1,2800,30,"女","新竹縣","本國"
"台南市",2014/11/02,2014/11/03,"2014/10/16 下午 07:27:16",1,3099,67,"男","桃園縣","本國"
"台南市",2014/11/28,2014/11/29,"2014/10/16 下午 10:03:16",1,2800,44,"男","台中市","本國"
"台南市",2014/11/28,2014/11/29,"2014/10/16 下午 10:09:16",1,3780,44,"女","台北市","本國"
"台南市",2014/10/24,2014/10/25,"2014/10/17 上午 09:55:17",1,2600,30,"女","非台灣地區","外國"
"台南市",2014/10/24,2014/10/25,"2014/10/17 下午 08:52:17",1,2499,38,"女","新北市","本國"
"台北市",2015/01/05,2015/01/09,"2014/10/18 下午 08:29:18",1,12400,36,"女","台中市","本國"
"台北市",2015/01/05,2015/01/09,"2014/10/18 下午 08:37:18",1,12400,36,"女","台北市","本國"
"台北市",2014/12/30,2014/12/31,"2014/10/19 下午 02:38:19",1,3100,36,"女","新北市","本國"
"台北市",2014/11/24,2014/11/25,"2014/10/19 下午 06:07:19",1,4500,47,"男","台北市","本國"
"台南市",2015/01/01,2015/01/02,"2014/10/19 下午 11:18:19",1,6000,49,"女","新北市","本國"
"台南市",2014/10/22,2014/10/24,"2014/10/2 上午 07:42:02",1,4998,47,"男","台北市","本國"
"台南市",2014/10/03,2014/10/04,"2014/10/2 上午 09:00:08",1,6160,41,"女","非台灣地區","外國"
"台南市",2014/11/21,2014/11/22,"2014/10/2 下午 01:58:02",1,5900,59,"男","台北市","本國"
"花蓮縣",2014/12/20,2014/12/21,"2014/10/20 上午 02:04:20",1,3840,44,"男","非台灣地區","外國"
"花蓮縣",2014/12/31,2015/01/01,"2014/10/20 上午 12:09:20",1,2880,51,"男","新北市","本國"
"台南市",2014/10/26,2014/10/27,"2014/10/20 上午 12:37:20",1,3500,56,"女","新北市","本國"
"台南市",2014/10/31,2014/11/01,"2014/10/20 下午 04:34:20",1,2499,32,"男","彰化縣","本國"
"花蓮縣",2014/12/22,2014/12/24,"2014/10/20 下午 07:47:20",1,5760,46,"男","台中市","本國"
"台南市",2014/11/23,2014/11/24,"2014/10/20 下午 07:55:20",1,7700,54,"女","台南市","本國"
"台南市",2014/11/10,2014/11/11,"2014/10/20 下午 08:01:20",1,3200,30,"女","台北市","本國"
"台南市",2014/11/11,2014/11/12,"2014/10/20 下午 08:03:20",1,2499,30,"男","新北市","本國"
