City,Checkin Date,Checkout Date,Booked Time,Quantity,Amount,Age,Gender,Hometown,isForeigner
west,2014-10-24,2014-10-25,2014-10-17 09:55:17,1,2600,30,female,foreign,yes
west,2014-10-24,2014-10-25,2014-10-17 20:52:17,1,2499,38,female,high,no
city,2015-01-05,2015-01-09,2014-10-18 20:29:18,1,12400,36,female,high,no
city,2015-01-05,2015-01-09,2014-10-18 20:37:18,1,12400,36,female,highest,no
city,2014-12-30,2014-12-31,2014-10-19 14:38:19,1,3100,36,female,high,no
city,2014-11-24,2014-11-25,2014-10-19 18:07:19,1,4500,47,male,highest,no
west,2015-01-01,2015-01-02,2014-10-19 23:18:19,1,6000,49,female,high,no
west,2014-10-22,2014-10-24,2014-10-02 07:42:02,1,4998,47,male,highest,no
west,2014-10-03,2014-10-04,2014-10-02 09:00:08,1,6160,41,female,foreign,yes
west,2014-11-21,2014-11-22,2014-10-02 13:58:02,1,5900,59,male,highest,no
east,2014-12-20,2014-12-21,2014-10-20 02:04:20,1,3840,44,male,foreign,yes
east,2014-12-31,2015-01-01,2014-10-20 00:09:20,1,2880,51,male,high,no
west,2014-10-26,2014-10-27,2014-10-20 00:37:20,1,3500,56,female,high,no
west,2014-10-31,2014-11-01,2014-10-20 16:34:20,1,2499,32,male,lowest,no
east,2014-12-22,2014-12-24,2014-10-20 19:47:20,1,5760,46,male,high,no
west,2014-11-23,2014-11-24,2014-10-20 19:55:20,1,7700,54,female,low,no
west,2014-11-10,2014-11-11,2014-10-20 20:01:20,1,3200,30,female,highest,no
west,2014-11-11,2014-11-12,2014-10-20 20:03:20,1,2499,30,male,high,no
east,2014-10-31,2014-11-01,2014-10-20 20:28:20,1,2880,42,male,high,no
east,2014-11-01,2014-11-02,2014-10-20 20:34:20,1,4480,42,male,high,no
east,2014-11-05,2014-11-06,2014-10-20 20:56:20,1,2880,40,male,highest,no
west,2014-12-13,2014-12-14,2014-10-20 23:49:20,1,6099,39,male,highest,no
west,2014-12-13,2014-12-14,2014-10-20 23:54:20,1,4000,39,male,low,no
west,2014-11-15,2014-11-16,2014-10-20 12:36:20,3,18900,36,male,high,no
west,2015-01-01,2015-01-02,2014-10-21 10:29:21,1,6000,43,female,high,no
west,2015-01-02,2015-01-03,2014-10-21 14:13:21,1,6000,48,female,high,no
west,2014-12-31,2015-01-01,2014-10-21 20:26:21,1,2499,34,female,high,no
west,2015-01-01,2015-01-02,2014-10-21 12:46:21,1,6000,36,male,highest,no
east,2014-11-05,2014-11-06,2014-10-22 09:16:53,1,2880,54,female,low,no
west,2014-11-03,2014-11-04,2014-10-22 10:33:22,1,2800,57,male,high,no
west,2014-11-21,2014-11-22,2014-10-22 11:01:22,2,4998,41,male,high,no
west,2015-01-01,2015-01-03,2014-10-22 11:48:22,1,8700,45,male,highest,no
west,2014-11-03,2014-11-04,2014-10-22 00:36:22,1,3200,33,female,high,no
west,2014-10-23,2014-10-24,2014-10-22 00:36:22,1,3500,35,male,highest,no
west,2014-10-28,2014-10-29,2014-10-22 16:40:22,1,2600,59,male,highest,no
west,2014-10-26,2014-10-28,2014-10-22 17:52:22,1,5200,47,female,high,no
west,2014-11-01,2014-11-02,2014-10-22 18:15:22,1,6300,41,female,high,no
city,2014-10-30,2014-10-31,2014-10-22 21:54:22,2,6200,38,male,high,no
west,2014-12-19,2014-12-20,2014-10-22 23:51:22,2,7560,34,male,highest,no
west,2014-12-19,2014-12-20,2014-10-22 23:54:22,1,2800,34,female,high,no
west,2014-10-31,2014-11-01,2014-10-23 10:30:23,1,3500,30,female,high,no
east,2014-11-28,2014-11-29,2014-10-23 13:09:23,1,2880,38,female,high,no
west,2015-01-01,2015-01-02,2014-10-23 15:10:23,2,8700,45,male,high,no
east,2014-11-04,2014-11-05,2014-10-23 20:47:23,2,5760,38,female,high,no
east,2014-12-28,2014-12-30,2014-10-23 21:30:23,2,11520,33,male,highest,no
west,2014-12-12,2014-12-13,2014-10-23 23:36:23,1,2800,48,female,high,no
west,2014-11-07,2014-11-08,2014-10-23 12:21:23,1,3500,53,male,high,no
west,2014-11-21,2014-11-22,2014-10-24 14:26:24,1,5800,48,male,high,no
west,2014-12-19,2014-12-20,2014-10-24 14:30:24,1,7700,60,female,lowest,no
east,2014-10-29,2014-10-30,2014-10-24 16:50:24,1,1998,45,female,highest,no
west,2014-11-02,2014-11-03,2014-10-25 17:19:42,1,7700,33,female,high,no
west,2014-10-26,2014-10-27,2014-10-25 17:20:57,1,5599,48,female,high,no
west,2014-11-07,2014-11-08,2014-10-25 17:24:01,1,3700,33,female,high,no
west,2014-11-07,2014-11-08,2014-10-25 17:24:41,1,2600,33,female,low,no
west,2014-10-31,2014-11-01,2014-10-25 21:57:25,1,2600,41,male,highest,no
east,2014-11-11,2014-11-12,2014-10-25 12:16:25,1,2880,38,male,highest,no
